Page;Content;Importance
1;Motivation spielt eine Rolle. Die Rolle ist unklar, aber sie ist da.;2
2;Organisation und Struktur sind wichtig. Aber nicht jeder hält sich daran.;2
3;Kommunikation ist der Schlüssel. Der Schlüssel zu was? Das ist nicht immer klar.;2
4;Motivation spielt eine Rolle. Die Rolle ist unklar, aber sie ist da.;2
5;- Lernen lernen - Ziele setzen - Umsetzung planen Doch manchmal klappt es trotzdem nicht.;2
6;- Was ist das Ziel? - Wie erreicht man es? Diese Fragen stellt man sich oft.;2
7;Organisation und Struktur sind wichtig. Aber nicht jeder hält sich daran.;2
8;- Problem erkennen - Lösung suchen - Erfolg genießen Das ist die Theorie.;2
9;Die Umsetzung hängt von vielen Faktoren ab. Welche Faktoren das sind, ist nicht genau bekannt.;2
10;Ein gutes Beispiel hilft beim Verstehen. Wenn es aber kein gutes Beispiel gibt, hilft es auch nicht.;2
11;Kommunikation ist der Schlüssel. Der Schlüssel zu was? Das ist nicht immer klar.;2
12;Die Umsetzung hängt von vielen Faktoren ab. Welche Faktoren das sind, ist nicht genau bekannt.;2
13;Dieses Thema ist manchmal wichtig, manchmal aber auch nicht. Es kommt darauf an. Planung ist hilfreich, wenn sie gut gemacht ist.;2
